neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,400 CENTRAL PARK WEST,16J,10025,1.0,,1.0,,,1960.0,996500.0,2023-04-17,40.7942295,-73.96369820578359
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,400 CENTRAL PARK WEST,16W,10025,1.0,,1.0,,,1960.0,1116500.0,2023-04-17,40.7942295,-73.96369820578359
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,400 CENTRAL PARK WEST,17M,10025,1.0,,1.0,,,1960.0,1375000.0,2024-01-25,40.7942295,-73.96369820578359
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,400 CENTRAL PARK WEST,17Y,10025,1.0,,1.0,,,1960.0,925000.0,2024-01-31,40.7942295,-73.96369820578359
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,418 CENTRAL PARK WEST,59,10025,1.0,,1.0,,,1902.0,575000.0,2023-11-14,40.7952534,-73.9622722
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,418 CENTRAL PARK WEST,88,10025,1.0,,1.0,,,1902.0,1100000.0,2023-11-28,40.7952534,-73.9622722
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,420 CENTRAL PARK WEST,1D,10025,1.0,,1.0,,,1941.0,500000.0,2023-05-30,40.7957404,-73.9619123
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,425 CENTRAL PARK WEST,6A,10025,1.0,,1.0,,,1941.0,1780000.0,2023-10-05,40.7959905,-73.9617281
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,425 CENTRAL PARK WEST,6D,10025,1.0,,1.0,,,1941.0,1470000.0,2023-09-14,40.7959905,-73.9617281
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,455 CENTRAL PARK WEST,20,10025,1.0,,1.0,,,2002.0,4390000.0,2023-06-13,40.7979529,-73.96046259956796
