building_class_category,sale_quarter,num_sales,avg_sale_price,median_sale_price,qoq_price_change_pct
38 ASYLUMS AND HOMES,3,2,13000000.0,13000000.0,-0.5185185185185186
38 ASYLUMS AND HOMES,4,1,2.0,2.0,-0.9999998461538462
41 TAX CLASS 4 - OTHER,3,1,381844.0,381844.0,0.0
42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,4,1,15150000.0,15150000.0,0.0
43 CONDO OFFICE BUILDINGS,1,12,1886252.75,2224600.0,0.0
43 CONDO OFFICE BUILDINGS,2,24,3741511.8333333335,1819900.0,-0.1819203452306033
43 CONDO OFFICE BUILDINGS,3,28,8417996.42857143,1375000.0,-0.24446398153744708
43 CONDO OFFICE BUILDINGS,4,52,39894648.192307696,3279343.0,1.3849767272727274
44 CONDO PARKING,1,12,3334897.5,737500.0,0.0
44 CONDO PARKING,2,10,3654250.0,1235000.0,0.6745762711864407
44 CONDO PARKING,3,10,819250.0,487500.0,-0.6052631578947368
44 CONDO PARKING,4,12,36276351.416666664,1170000.0,1.4
45 CONDO HOTELS,1,7,2404464.8571428573,850000.0,0.0
45 CONDO HOTELS,2,19,2447456.5789473685,630000.0,-0.2588235294117647
45 CONDO HOTELS,3,20,31050463.6,413475.0,-0.3436904761904762
45 CONDO HOTELS,4,16,10292193.0,283000.0,-0.3155571679061612
46 CONDO STORE BUILDINGS,1,22,11644420.909090908,7722165.0,0.0
46 CONDO STORE BUILDINGS,2,13,5638388.538461538,3500000.0,-0.5467592313813548
46 CONDO STORE BUILDINGS,3,19,10684282.315789474,2800000.0,-0.19999999999999996
46 CONDO STORE BUILDINGS,4,23,83931656.69565217,5000000.0,0.7857142857142858
47 CONDO NON-BUSINESS STORAGE,1,25,2878907.84,2275000.0,0.0
47 CONDO NON-BUSINESS STORAGE,2,44,3125248.1363636362,1737500.0,-0.2362637362637363
47 CONDO NON-BUSINESS STORAGE,3,34,2182175.205882353,999500.0,-0.42474820143884895
47 CONDO NON-BUSINESS STORAGE,4,46,2578254.347826087,2387500.0,1.3886943471735869
48 CONDO TERRACES/GARDENS/CABANAS,1,1,538198.0,538198.0,0.0
48 CONDO TERRACES/GARDENS/CABANAS,4,4,1492500.0,1805000.0,2.353784294999238
49 CONDO WAREHOUSES/FACTORY/INDUS,2,1,65000.0,65000.0,0.0
49 CONDO WAREHOUSES/FACTORY/INDUS,3,1,126500.0,126500.0,0.9461538461538461
49 CONDO WAREHOUSES/FACTORY/INDUS,4,2,1982500.0,1982500.0,14.671936758893281
